name,city,state,cert,id_number,end_date,
FIRST RIDGE FARM STATE BANK,RIDGE FARM,IL,16315,38441,2003-09-30 00:00:00
FIRST COMMUNITY BANK NATIONAL ASSOCIATION,OLNEY,IL,30319,38478,2005-06-30 00:00:00
IRON AND GLASS BANK,PITTSBURGH,PA,9891,38526,2008-06-30 00:00:00
FIRST UNITED BANK,CRETE,IL,20685,38535,2012-06-30 00:00:00
LORAIN NATIONAL BANK  THE,LORAIN,OH,14832,39420,2015-06-30 00:00:00
AMERICANWEST BANK,SPOKANE,WA,22441,39475,2015-09-30 00:00:00
FIRST NATIONAL BANK OF GEORGIA,BUCHANAN,GA,11292,39934,2007-06-30 00:00:00
UNION BANK & TRUST,DENVER,CO,14708,40051,2002-12-31 00:00:00
CHITTENDEN TRUST COMPANY,BURLINGTON,VT,14149,40305,2007-12-31 00:00:00
MURRAY STATE BANK,MURRAY,NE,10653,40350,2016-12-31 00:00:00
CONNECTICUT RIVER BANK  N.A.,SPRINGFIELD,VT,6209,40707,2014-06-30 00:00:00
FARMERS & MERCHANTS BANK OF ORFORDVILLE,ORFORDVILLE,WI,15173,41245,2019-12-31 00:00:00
FIRST BANKING CENTER,BURLINGTON,WI,5287,41647,2010-09-30 00:00:00
FARMERS STATE BANK OF ELKTON,ELKTON,MN,1416,41759,2013-12-31 00:00:00
FARMERS STATE BANK OF DANFORTH,DANFORTH,IL,10802,41937,2019-09-30 00:00:00
FIRST NATIONAL BANK OF NEWMAN GROVE  THE,NEWMAN GROVE,NE,5447,41955,2021-12-31 00:00:00
ANADARKO BANK AND TRUST COMPANY,ANADARKO,OK,15354,42055,2015-06-30 00:00:00
NATIONAL CITY BANK OF MICHIGAN/ILLINOIS,BANNOCKBURN,IL,5029,42541,2006-06-30 00:00:00
FIRST NATIONAL BANK,MOUNTAIN VIEW,MO,12216,43155,2009-03-31 00:00:00
UNITED COMMERCIAL BANK,SAN FRANCISCO,CA,32469,43173,2009-09-30 00:00:00
EXCHANGE BANK  THE,LUCKEY,OH,2066,43324,2006-12-31 00:00:00
AMERICAN STATE BANK OF ERSKINE,ERSKINE,MN,10204,43454,2014-06-30 00:00:00
UNION NATIONAL COMMUNITY BANK,MOUNT JOY,PA,7635,43511,2011-03-31 00:00:00
FARMERS STATE BANK  THE,LANESVILLE,IN,12830,43641,2008-03-31 00:00:00
CAMBRIDGE STATE BANK,CAMBRIDGE,WI,14823,43744,2015-09-30 00:00:00
FIRST COMMERCIAL BANK,BIRMINGHAM,AL,26359,44134,2010-03-31 00:00:00
